title,genres,keywords,cast
Inception,Action|Sci-Fi|Thriller,"dream,heist,mind,technology","Leonardo DiCaprio|Tom Hardy"
Interstellar,Adventure|Drama|Sci-Fi,"space,time,science,astronaut,future","Matthew McConaughey|Anne Hathaway"
The Matrix,Action|Sci-Fi,"virtual reality,technology,artificial intelligence,action","Keanu Reeves|Laurence Fishburne"
Avengers: Endgame,Action|Adventure|Sci-Fi,"superhero,time travel,marvel,team,action","Robert Downey Jr.|Chris Evans"
Iron Man,Action|Adventure|Sci-Fi,"superhero,technology,engineering,marvel","Robert Downey Jr.|Gwyneth Paltrow"
Spider-Man: No Way Home,Action|Adventure|Sci-Fi,"superhero,spider,marvel,multiverse,action","Tom Holland|Zendaya"
The Dark Knight,Action|Crime|Drama,"superhero,joker,crime,justice,action","Christian Bale|Heath Ledger"
Titanic,Drama|Romance,"love,ship,disaster,historical,romance","Leonardo DiCaprio|Kate Winslet"
The Notebook,Drama|Romance,"love,relationship,romance,emotional","Ryan Gosling|Rachel McAdams"
La La Land,Drama|Music|Romance,"music,dance,love,career,romance","Ryan Gosling|Emma Stone"
3 Idiots,Comedy|Drama,"college,friendship,engineering,education,motivation","Aamir Khan|R. Madhavan"
Dangal,Drama|Sport,"wrestling,family,sports,motivation,women","Aamir Khan|Fatima Sana Shaikh"
Zindagi Na Milegi Dobara,Adventure|Comedy|Drama,"friendship,travel,adventure,life,road trip","Hrithik Roshan|Farhan Akhtar"
Taare Zameen Par,Drama,"education,child,teacher,art,family","Aamir Khan|Darsheel Safary"
Queen,Comedy|Drama,"travel,self-discovery,independence,woman,motivation","Kangana Ranaut|Rajkummar Rao"
Kahaani,Mystery|Thriller|Drama,"mystery,investigation,kolkata,search,thriller","Vidya Balan|Parambrata Chatterjee"
Drishyam,Crime|Drama|Thriller,"family,crime,mystery,investigation,suspense","Ajay Devgn|Tabu"
Andhadhun,Crime|Comedy|Thriller,"mystery,piano,crime,blindness,suspense","Ayushmann Khurrana|Tabu"
The Pursuit of Happyness,Biography|Drama,"career,family,dream,motivation,struggle","Will Smith|Jaden Smith"
Forrest Gump,Drama|Romance,"life,friendship,love,history,motivation","Tom Hanks|Robin Wright"
The Shawshank Redemption,Drama,"prison,friendship,hope,freedom,motivation","Tim Robbins|Morgan Freeman"
Harry Potter and the Sorcerer's Stone,Adventure|Fantasy,"magic,wizard,school,friendship,fantasy","Daniel Radcliffe|Emma Watson"
The Lord of the Rings,Adventure|Fantasy|Drama,"magic,quest,friendship,war,fantasy","Elijah Wood|Ian McKellen"
Jurassic Park,Adventure|Sci-Fi|Thriller,"dinosaurs,science,park,adventure,technology","Sam Neill|Laura Dern"
Toy Story,Animation|Adventure|Comedy,"toys,friendship,childhood,adventure,fun","Tom Hanks|Tim Allen"
Coco,Animation|Adventure|Drama,"music,family,afterlife,mexico,dream","Anthony Gonzalez|Gael Garcia Bernal"
Finding Nemo,Animation|Adventure|Comedy,"ocean,fish,family,journey,friendship","Albert Brooks|Ellen DeGeneres"
Inside Out,Animation|Comedy|Drama,"emotions,childhood,family,mind,feelings","Amy Poehler|Phyllis Smith"
The Social Network,Biography|Drama,"facebook,technology,startup,entrepreneurship,friendship","Jesse Eisenberg|Andrew Garfield"
Moneyball,Biography|Drama|Sport,"baseball,data,analytics,sports,team","Brad Pitt|Jonah Hill"
